danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.878,0.8210000000000001,11,-9.875,1,0.089,0.126,0.0461,0.183,0.9470000000000001,118.881,audio_features,46eu3SBuFCXWsPT39Yg3tJ,spotify:track:46eu3SBuFCXWsPT39Yg3tJ,https://api.spotify.com/v1/tracks/46eu3SBuFCXWsPT39Yg3tJ,https://api.spotify.com/v1/audio-analysis/46eu3SBuFCXWsPT39Yg3tJ,365467,4
0.787,0.889,8,-3.786,1,0.0397,0.00462,0.423,0.0665,0.394,114.091,audio_features,5lWFrW5T3JtxVCLDb7etPu,spotify:track:5lWFrW5T3JtxVCLDb7etPu,https://api.spotify.com/v1/tracks/5lWFrW5T3JtxVCLDb7etPu,https://api.spotify.com/v1/audio-analysis/5lWFrW5T3JtxVCLDb7etPu,247360,4
0.757,0.632,2,-6.83,1,0.054900000000000004,0.499,0.0,0.0723,0.742,122.936,audio_features,5PycBIeabfvX3n9ILG7Vrv,spotify:track:5PycBIeabfvX3n9ILG7Vrv,https://api.spotify.com/v1/tracks/5PycBIeabfvX3n9ILG7Vrv,https://api.spotify.com/v1/audio-analysis/5PycBIeabfvX3n9ILG7Vrv,235133,4
0.859,0.747,0,-4.176,1,0.0623,0.461,1.14e-06,0.34,0.882,124.966,audio_features,252UPuQsncbBFhTrx4Ytcc,spotify:track:252UPuQsncbBFhTrx4Ytcc,https://api.spotify.com/v1/tracks/252UPuQsncbBFhTrx4Ytcc,https://api.spotify.com/v1/audio-analysis/252UPuQsncbBFhTrx4Ytcc,239027,4
0.605,0.8220000000000001,0,-4.833,1,0.0438,0.006710000000000001,0.134,0.147,0.28800000000000003,167.997,audio_features,1zB4vmk8tFRmM9UULNzbLB,spotify:track:1zB4vmk8tFRmM9UULNzbLB,https://api.spotify.com/v1/tracks/1zB4vmk8tFRmM9UULNzbLB,https://api.spotify.com/v1/audio-analysis/1zB4vmk8tFRmM9UULNzbLB,187147,4
0.647,0.8220000000000001,5,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160.019,audio_features,5b88tNINg4Q4nrRbrCXUmg,spotify:track:5b88tNINg4Q4nrRbrCXUmg,https://api.spotify.com/v1/tracks/5b88tNINg4Q4nrRbrCXUmg,https://api.spotify.com/v1/audio-analysis/5b88tNINg4Q4nrRbrCXUmg,232720,4
0.398,0.892,0,-4.455,1,0.307,0.018500000000000003,7.75e-06,0.0965,0.642,207.505,audio_features,1C3en9FHEGiau0XxcLueke,spotify:track:1C3en9FHEGiau0XxcLueke,https://api.spotify.com/v1/tracks/1C3en9FHEGiau0XxcLueke,https://api.spotify.com/v1/audio-analysis/1C3en9FHEGiau0XxcLueke,134452,3
0.728,0.742,7,-5.969,0,0.038,0.056400000000000006,0.0,0.0757,0.799,127.749,audio_features,0Wh6e5EkmQseBGVeJqzC9X,spotify:track:0Wh6e5EkmQseBGVeJqzC9X,https://api.spotify.com/v1/tracks/0Wh6e5EkmQseBGVeJqzC9X,https://api.spotify.com/v1/audio-analysis/0Wh6e5EkmQseBGVeJqzC9X,232440,4
0.595,0.8180000000000001,4,-3.115,0,0.0555,0.153,0.0,0.0878,0.41100000000000003,112.686,audio_features,0DVC2pMTkDmkoAW3XyIdYe,spotify:track:0DVC2pMTkDmkoAW3XyIdYe,https://api.spotify.com/v1/tracks/0DVC2pMTkDmkoAW3XyIdYe,https://api.spotify.com/v1/audio-analysis/0DVC2pMTkDmkoAW3XyIdYe,306120,4
0.675,0.899,10,-6.124,0,0.041800000000000004,0.06960000000000001,0.000139,0.33,0.91,103.683,audio_features,3LmpQiFNgFCnvAnhhvKUyI,spotify:track:3LmpQiFNgFCnvAnhhvKUyI,https://api.spotify.com/v1/tracks/3LmpQiFNgFCnvAnhhvKUyI,https://api.spotify.com/v1/audio-analysis/3LmpQiFNgFCnvAnhhvKUyI,285200,4
0.745,0.639,6,-4.312,0,0.0327,0.193,0.0194,0.14200000000000002,0.713,111.957,audio_features,33wtOrINFmeERJsRPfoSVw,spotify:track:33wtOrINFmeERJsRPfoSVw,https://api.spotify.com/v1/tracks/33wtOrINFmeERJsRPfoSVw,https://api.spotify.com/v1/audio-analysis/33wtOrINFmeERJsRPfoSVw,192800,4
0.685,0.665,9,-12.586,1,0.0318,0.123,0.000336,0.222,0.981,125.918,audio_features,79KIMUAkOLIREcEy859KSh,spotify:track:79KIMUAkOLIREcEy859KSh,https://api.spotify.com/v1/tracks/79KIMUAkOLIREcEy859KSh,https://api.spotify.com/v1/audio-analysis/79KIMUAkOLIREcEy859KSh,216293,4
